species,state
Eupherusa_eximia,2
Eupherusa_cyanophrys,1
Eupherusa_poliocerca,1
Leucippus_baeri,1
Leucippus_taczanowski,2
Amazilia_violiceps,2
Amazilia_cyanocephala,1
Amazilia_cyanura,1
Amazilia_berryllina,1
Amazilia_edward,1
Amazilia_saucerottia,1
Amazilia_tobacii,2
Amazilia_viridigaster,1
Amazilia_rutila,1
Amazilia_yucatanensis,1
Amazilia_tzacatl,1
Amazilia_amazilia,1
Amazilia_franciae,1
Amazilia_versicolor,1
Chrysuronia_oenone,2
Lepidopyga_coeruleo,2
Amazilia_chionopectus,2
Amazilia_lactea,1
Amazilia_fimbriata,1
Hylocharis_chrysura,1
Hylocharis_sapphirina,2
Amazilia_chionogaster,2
Amazilia_viridicauda,1
Amazilia_amabilis,1
Amazilia_decora,1
Amazilia_candida,1
Hylocharis_eliciae,2
Hylocharis_cyanus,1
Damophila_julie,1
