species,region
Amazilia_amabilis,AB
Amazilia_amazilia,A
Amazilia_berryllina,BC
Amazilia_candida,BC
Amazilia_chionogaster,A
Amazilia_chionopectus,A
Amazilia_cyanocephala,BC
Amazilia_cyanura,B
Amazilia_decora,AB
Amazilia_edward,B
Amazilia_fimbriata,A
Amazilia_franciae,A
Amazilia_lactea,A
Amazilia_rutila,BC
Amazilia_saucerottia,AB
Amazilia_tobacii,A
Amazilia_tzacatl,BC
Amazilia_versicolor,A
Amazilia_violiceps,C
Amazilia_viridicauda,A
Amazilia_viridigaster,A
Amazilia_yucatanensis,C
Anthrac_nigricollis,A
Anthrac_prevostii,BC
Archilochus_colubris,BC
Atthis_heloisa,BC
Calothorax_lucifer,C
Campylopt_excellens,C
Campylopt_hemileucurus,BC
Campylopt_largipennis,A
Campylopt_rufus,B
Campylopt_villaviscen,A
Chlorostil_canivetii,ABC
Chrysuronia_oenone,A
Coeligena_bonapartei,A
Coeligena_torquata,A
Colibri_thalassinus,ABC
Cynanthus_latirostris,C
Cynanthus_sordidus,C
Damophila_julie,A
Doricha_eliza,BC
Doryfera_johannae,AB
Eugenes_fulgens,ABC
Eupherusa_cyanophrys,C
Eupherusa_eximia,BC
Eupherusa_poliocerca,C
Florisuga_mellivora,ABC
Heliomaster_constan,BC
Heliomaster_longirostris,AB
Hylocharis_chrysura,A
Hylocharis_cyanus,A
Hylocharis_eliciae,BC
Hylocharis_leucotis,BC
Hylocharis_sapphirina,A
Lamporn_ameth,BC
Lampornis_clemenciae,C
Lampornis_viridipallens,B
Lamprolaima_rhami,BC
Lepidopyga_coeruleo,A
Leucippus_baeri,A
Leucippus_taczanowski,A
Phaeth_longuemareus,ABC
Phaeth_supercil,ABC
Selasphorus_platycercus,BC
Selasphorus_rufus,C
Tilmatura_dupontii,BC
